,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60
spapros_0_eye_0,0.8704651231461765,0.8571428571428571,0.6209721241029457,0.43457429041507006
spapros_0_eye_1,0.8826328539234269,0.8522762951334382,0.6699257451032838,0.48862805176676816
spapros_0_eye_2,0.8826834559843902,0.8571428571428571,0.651060012840049,0.46225026681823833
spapros_0_eye_3,0.8831427470264318,0.8365079365079364,0.6672843464986737,0.48200791803387
spapros_0_eye_4,0.872449136515517,0.8571428571428571,0.597437866360113,0.42602543364012285
spapros_0_eye_5,0.603593979144602,0.1307692307692307,0.24089972687713065,0.23305366027132396
spapros_0_eye_6,0.8772726302028274,0.8240188383045525,0.6387425400190075,0.48602138695070324
spapros_0_eye_7,0.8958869488243878,0.8571428571428571,0.6599539909629348,0.46844084914374184
spapros_0_eye_8,0.8804906875537355,0.8571428571428571,0.6454873992096186,0.4773138274882493
spapros_0_eye_9,0.8927625746312918,0.8571428571428571,0.7006580420970902,0.5015722354455695
spapros_0_eye_10,0.8767359974186559,0.8238095238095237,0.6646873111720474,0.47476803432371845
spapros_0_eye_11,0.8853763712264197,0.8571428571428571,0.627908459348208,0.4344235143747879
spapros_0_eye_12,0.7842138870110968,0.6368916797488227,0.49867089110783924,0.3839918604646949
spapros_0_eye_13,0.814597646652287,0.6340744564566244,0.449590688013234,0.3363519117426744
spapros_0_eye_14,0.8722932326784089,0.8315541601255886,0.603513477233824,0.44625139125736607
spapros_0_eye_15,0.8834682437834912,0.8359497645211931,0.6741557289978636,0.4822195102967866
spapros_0_eye_16,0.8927798649387803,0.8571428571428571,0.6599223384817292,0.4826102797365376
spapros_0_eye_17,0.8895402070791373,0.8571428571428571,0.665500002042739,0.4743697223245107
spapros_0_eye_18,0.879186091673925,0.8174603174603174,0.659216010842276,0.47341711046971857
spapros_0_eye_19,0.8783718159142992,0.8571428571428571,0.6821733551855348,0.5042645742437678
spapros_0_eye_20,0.8742697642418629,0.8571428571428571,0.6619926522229032,0.469614645101886
spapros_0_eye_21,0.8916638271287122,0.8571428571428571,0.6924494950348535,0.4780240849642293
spapros_0_eye_22,0.89757367625635,0.8571428571428571,0.6733346950694085,0.4795174812492965
spapros_0_eye_23,0.8912913736156786,0.8571428571428571,0.6840444145161098,0.5015426658727969
spapros_0_eye_24,0.8890861883317575,0.8571428571428571,0.6985026052858807,0.5014638807684674
spapros_0_eye_25,0.8837899235804463,0.8571428571428571,0.6906935397990208,0.49421168122786996
spapros_0_eye_26,0.9004492873973319,0.8571428571428571,0.6654580992604431,0.46190771040066814
spapros_0_eye_27,0.8759660489259554,0.8571428571428571,0.6340630005829433,0.43474140138947553
spapros_0_eye_28,0.8867522204176791,0.8571428571428571,0.6728906537212469,0.4799678769248651
spapros_0_eye_29,0.8835517335010186,0.8237048665620093,0.695772716551475,0.49465711663642675
spapros_0_eye_30,0.9057976225296417,0.8571428571428571,0.7105002286269695,0.5030927065068561
spapros_0_eye_31,0.8960743666579875,0.8571428571428571,0.7124636613987776,0.5043325244293694
spapros_0_eye_32,0.8963047452228908,0.8571428571428571,0.6776248500124101,0.4836680736523709
spapros_0_eye_33,0.8991265583664625,0.8571428571428571,0.6565970890333124,0.4608257586878072
spapros_0_eye_34,0.8649472154232105,0.8555555555555553,0.6728436425523666,0.4845819279346607
spapros_0_eye_35,0.8927217002138705,0.8571428571428571,0.6689504162425655,0.4773027120148221
spapros_0_eye_36,0.879692971441768,0.8262166405023547,0.6911297238691967,0.4877875009034797
spapros_0_eye_37,0.8942804973133326,0.8571428571428571,0.6987460291066843,0.5048501909566891
spapros_0_eye_38,0.881389188895487,0.8571428571428571,0.6728445151055475,0.4625048915403836
spapros_0_eye_39,0.8831437627784083,0.8571428571428571,0.7131058018393104,0.502819443407104
spapros_0_eye_40,0.8934358608649092,0.8571428571428571,0.6835056888053626,0.49112431769605003
spapros_0_eye_41,0.8879461689539364,0.8571428571428571,0.6734301611430391,0.469884618354053
spapros_0_eye_42,0.8919838504019422,0.8571428571428571,0.7107426571787311,0.5145949225868757
spapros_0_eye_43,0.887214942067334,0.8571428571428571,0.6840101595853253,0.47494509184697
spapros_0_eye_44,0.8879958784048688,0.8494505494505493,0.679361782422642,0.4664787680049467
spapros_0_eye_45,0.8981202170734883,0.8571428571428571,0.675406607341539,0.47911651054369714
spapros_0_eye_46,0.886456630194023,0.8571428571428571,0.659356633970251,0.466143913023125
spapros_0_eye_47,0.9034244807716657,0.8571428571428571,0.6940619275893545,0.4963744104715748
spapros_0_eye_48,0.8899612941769751,0.8571428571428571,0.6608405728669813,0.4526177437447038
spapros_0_eye_49,0.8978627777415517,0.8571428571428571,0.6817547202331432,0.46785423794871395
spapros_0_eye_50,0.8920449576189365,0.8571428571428571,0.6941697481167659,0.496831092772836
spapros_0_eye_51,0.8728107045497235,0.8571428571428571,0.6751897681855319,0.4876491275792866
spapros_0_eye_52,0.9031147628261021,0.8571428571428571,0.677805627999671,0.4730766041824598
spapros_0_eye_53,0.8971876733774112,0.8571428571428571,0.6841371731714121,0.4811361893286721
spapros_0_eye_54,0.8857540006262729,0.8571428571428571,0.6815594735736304,0.4813648170488459
spapros_0_eye_55,0.8881969850929116,0.8571428571428571,0.7090740230407881,0.5102182646278832
