,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,knn_overlap_X_donor_id mean_overlap_AUC batch_mean,knn_overlap_X_donor_id mean_overlap_AUC full
spapros_0_eye_0,0.7901752179500284,0.4178145087235997,0.38233465358293856,0.34758943609830506,0.011889433033652799,0.011889433033652799
spapros_0_eye_1,0.8379937038676261,0.7524204013468833,0.388922945383524,0.3790936649157954,0.014905262576794507,0.014905262576794507
spapros_0_eye_2,0.7916722228826157,0.5604679285757449,0.30446930591759075,0.32179132875722416,0.011556365853851799,0.011556365853851799
spapros_0_eye_3,0.7295065451749185,0.5919891007324103,0.21557665648067953,0.2623206698565771,0.010061558737854527,0.010061558737854527
spapros_0_eye_4,0.7694871665163735,0.5049713389336028,0.5246197307499273,0.3806792522324747,0.011367542097220427,0.011367542097220427
spapros_0_eye_5,0.9573715478921213,0.930853994490358,0.7783838422138227,0.5590618960198008,0.04356534906052318,0.04356534906052318
spapros_0_eye_6,0.8071675551983701,0.7184486373165617,0.37614058824623947,0.3475934290782873,0.021123135481733932,0.021123135481733932
spapros_0_eye_7,0.8722240032063666,0.8133473095737247,0.39567407587558967,0.38482788954135333,0.017654395294119062,0.017654395294119062
spapros_0_eye_8,0.9317532557609631,0.8818181818181817,0.597275975021101,0.44720323675742935,0.0237141196722402,0.0237141196722402
spapros_0_eye_9,0.8808460024053943,0.8181818181818182,0.41644924956772655,0.398229814078673,0.01928195988171952,0.01928195988171952
spapros_0_eye_10,0.842810063889791,0.7625627342608474,0.3085293613411461,0.33627261483086285,0.015085883354566945,0.015085883354566945
spapros_0_eye_11,0.9261311757572213,0.9098937426210155,0.5655959113320719,0.4328435974711299,0.022412408000751807,0.022412408000751807
spapros_0_eye_12,0.9496608562245867,0.941401023219205,0.7145328339979649,0.5138553226533009,0.03692226505588104,0.03692226505588104
spapros_0_eye_13,0.9541500420958692,0.9646989374262102,0.739966658360927,0.5490230097320381,0.040581381999787225,0.040581381999787225
spapros_0_eye_14,0.9558409120151317,0.9254230617866981,0.7191347475976664,0.5211204699808795,0.03698992219784093,0.03698992219784093
spapros_0_eye_15,0.932886651549434,0.889090909090909,0.54091246304962,0.45333900148710315,0.02499401657153759,0.02499401657153759
spapros_0_eye_16,0.9484334933836305,0.9612357339630065,0.5596986628208007,0.4676914798342625,0.028539939478831232,0.028539939478831232
spapros_0_eye_17,0.7926889111239639,0.5283808343918913,0.20499579527169032,0.2908429184216586,0.011289023900231815,0.011289023900231815
spapros_0_eye_18,0.8468339758896992,0.7525624628325669,0.3379901586760869,0.3385882533051466,0.011960872804834426,0.011960872804834426
spapros_0_eye_19,0.8803304670167292,0.8454545454545456,0.34769864535300815,0.3709592541675854,0.017678613177734122,0.017678613177734122
spapros_0_eye_20,0.9274696227442192,0.8354978354978354,0.4906934630280931,0.42579201326778404,0.02432504690780354,0.02432504690780354
spapros_0_eye_21,0.9084210033430368,0.8490909090909091,0.5513629424647348,0.44558320785474026,0.024501390565703687,0.024501390565703687
spapros_0_eye_22,0.9540966252789186,0.9634395907123179,0.6543858428847338,0.47989591541502463,0.03148884055256826,0.03148884055256826
spapros_0_eye_23,0.9018178494984411,0.9081096681096681,0.5277725972082103,0.41295939492832057,0.01744866969157136,0.01744866969157136
spapros_0_eye_24,0.9197893729088403,0.82,0.5569225647930688,0.4363473507328902,0.025098473529615563,0.025098473529615563
spapros_0_eye_25,0.927724971304417,0.8794332939787484,0.550307990279044,0.41933651258243254,0.020551504167811433,0.020551504167811433
spapros_0_eye_26,0.9101197853940586,0.8418181818181817,0.5748014156956505,0.4350393632691665,0.022776933990096393,0.022776933990096393
spapros_0_eye_27,0.9441074944907727,0.9090909090909091,0.5920761237402747,0.4798967260539958,0.031056254360267474,0.031056254360267474
spapros_0_eye_28,0.933627912413218,0.8802676111767022,0.5559666051020639,0.4333878549234143,0.022521366423005132,0.022521366423005132
spapros_0_eye_29,0.9190889743118723,0.8345454545454545,0.5434001903884021,0.44270552080646725,0.024128966773181177,0.024128966773181177
spapros_0_eye_30,0.9228817179001777,0.8563636363636362,0.5314511915052426,0.41771863861844577,0.021040800852426603,0.021040800852426603
spapros_0_eye_31,0.9325061153396778,0.9090909090909091,0.5327611830159705,0.4357387216992028,0.023271525401514875,0.023271525401514875
spapros_0_eye_32,0.9243777225973046,0.8781818181818181,0.4565339175385713,0.42676733335226835,0.02225232473485231,0.02225232473485231
spapros_0_eye_33,0.9471368846441045,0.9364423455332546,0.5946614868451855,0.47748884861436613,0.030222227508629764,0.030222227508629764
spapros_0_eye_34,0.9284722288358462,0.9038672438672438,0.5233383054461265,0.4202070524473003,0.021172267819534612,0.021172267819534612
spapros_0_eye_35,0.8778054462439381,0.8272727272727273,0.4703962368645489,0.38674602550186704,0.016490634201763478,0.016490634201763478
spapros_0_eye_36,0.9099289862502095,0.8927272727272727,0.43290970307204146,0.4131666365403099,0.01897651928896462,0.01897651928896462
spapros_0_eye_37,0.9005342164503308,0.9090909090909091,0.4354348389405697,0.39552676281330046,0.0176080273758796,0.0176080273758796
spapros_0_eye_38,0.9120882387017404,0.8927272727272727,0.5390427572625951,0.42185885054459915,0.021460003536886058,0.021460003536886058
spapros_0_eye_39,0.8976182903753253,0.8181818181818182,0.516161046747744,0.4147719161578059,0.021102479066978947,0.021102479066978947
spapros_0_eye_40,0.9174942516794764,0.9090909090909091,0.5400781461419301,0.4096544363561783,0.019026371439569076,0.019026371439569076
spapros_0_eye_41,0.9194981973649212,0.8781818181818181,0.5120274894234149,0.4157990716894816,0.02025290506946377,0.02025290506946377
spapros_0_eye_42,0.8928268789855579,0.82,0.3713138289090656,0.39025912069807234,0.018004449521627757,0.018004449521627757
spapros_0_eye_43,0.9149418705122385,0.8599999999999999,0.5343675769384164,0.42077583094241666,0.02145551863059766,0.02145551863059766
spapros_0_eye_44,0.92932557381007,0.9036363636363636,0.5197142770743666,0.4248114448427748,0.024440642793250138,0.024440642793250138
spapros_0_eye_45,0.9243299396389535,0.9090909090909091,0.5175317711398201,0.41488966866525684,0.0195691842101578,0.0195691842101578
spapros_0_eye_46,0.9139568568068289,0.8181818181818182,0.4138965818661027,0.399103675832012,0.01943531827428805,0.01943531827428805
spapros_0_eye_47,0.9286573426667913,0.8999999999999999,0.5223745048242892,0.4200350308740301,0.023627734256518214,0.023627734256518214
spapros_0_eye_48,0.9299135161934288,0.9090909090909091,0.5513987777533658,0.441870934765317,0.024510528308711556,0.024510528308711556
spapros_0_eye_49,0.9406056868041379,0.9171585989767809,0.5493986305943929,0.42453068560962226,0.022684343608137696,0.022684343608137696
spapros_0_eye_50,0.9246515340247743,0.9090909090909091,0.5063584571678267,0.41071748242282713,0.021420071959547208,0.021420071959547208
spapros_0_eye_51,0.9313758784755554,0.9090909090909091,0.47994522521102123,0.41491257461347325,0.021302730984582366,0.021302730984582366
spapros_0_eye_52,0.931184541889418,0.9090909090909091,0.553471555085544,0.4130811282494813,0.018195817983379426,0.018195817983379426
spapros_0_eye_53,0.9247883363663767,0.9090909090909091,0.4433781624313715,0.4128973267112424,0.01979991206686469,0.01979991206686469
spapros_0_eye_54,0.9302670791493614,0.9090909090909091,0.5251496829658618,0.4217741530189194,0.022571897296193903,0.022571897296193903
spapros_0_eye_55,0.9360397040137604,0.9166863439590713,0.5247174279388893,0.40915691334023024,0.021389371552808997,0.021389371552808997
